time,open,high,low,close,volume
1514764800,741.24,741.24,727.14,739.7,15077.47579293
1514779200,739.7,758.0,733.02,751.39,17133.113557869998
1514793600,751.39,754.81,730.38,745.91,10921.51348671
1514808000,745.9,751.43,732.0,747.36,9331.97879966
1514822400,747.37,749.91,738.56,749.91,14199.5411254
1514836800,749.87,764.97,747.04,759.03,20713.21670851
1514851200,759.03,878.5,759.02,826.5,168975.06851724
1514865600,826.9,853.98,822.5,849.75,40678.815597
1514880000,849.74,858.88,832.02,852.69,19054.36014363
1514894400,852.68,873.0,845.0,866.01,31248.43251016
1514908800,866.01,874.9,820.4,853.75,74003.50831878
1514923200,853.01,871.99,845.0,865.0,36339.08487277
1514937600,865.0,887.8,860.9,863.31,51592.31200338
1514952000,863.31,883.0,853.31,882.86,28602.06617033
1514966400,882.86,882.86,850.11,872.8,22042.5190343
1514980800,872.8,885.23,856.3,880.66,31134.22067498
1514995200,880.66,932.98,870.33,920.0,96925.57076594
1515009600,920.0,949.98,906.9,938.31,76190.45384772
1515024000,938.16,940.0,925.0,925.2,48644.51561267
1515038400,925.2,942.65,920.1,937.97,37399.47014646
1515052800,937.97,947.0,906.01,946.99,32134.73529453
1515067200,947.0,994.89,938.12,993.21,68385.10507424
1515081600,993.2,993.21,946.0,953.01,72444.6412068
1515096000,953.01,959.99,912.88,949.0,57795.49504942
1515110400,949.0,988.45,942.0,988.45,40049.58567662
1515124800,988.45,1013.35,971.2,999.99,70182.83834419001
1515139200,1000.0,1015.0,974.26,995.78,35083.50464387
1515153600,995.78,997.91,970.9,976.15,29944.46267929
1515168000,976.15,979.0,935.0,968.39,60047.35725314
1515182400,968.39,983.55,946.79,969.27,42055.99425527
1515196800,969.27,985.0,961.23,967.97,29047.42229189
1515211200,967.98,994.51,966.03,992.0,20677.800159680002
1515225600,992.0,997.17,984.55,996.42,9842.71084235
1515240000,996.42,1007.0,988.13,1000.57,20312.83464787
1515254400,1003.52,1006.0,990.23,1003.0,26449.13671382
1515268800,1003.0,1009.11,1000.01,1006.68,19747.47561021
1515283200,1006.68,1045.0,1003.02,1045.0,35404.38184506
1515297600,1045.0,1075.0,1030.79,1070.0,45696.356886789996
1515312000,1069.99,1086.26,1065.72,1073.57,13079.87143227
1515326400,1073.57,1088.99,1053.73,1088.99,18904.20573868
1515340800,1088.98,1098.5,1064.08,1094.57,36065.54372906
1515355200,1094.59,1118.3,1076.41,1118.3,31277.917991870003
1515369600,1118.3,1196.61,1110.41,1191.94,80392.25632751
1515384000,1191.94,1228.99,1169.0,1186.67,62303.865319389995
1515398400,1186.67,1192.77,1104.1,1143.51,33694.51964922
1515412800,1143.51,1148.0,950.0,1074.99,98017.28636289001
1515427200,1074.99,1159.0,1070.12,1149.8,64202.11624504
1515441600,1149.8,1173.77,1110.0,1137.01,48971.59038144
1515456000,1137.01,1205.0,1135.0,1199.16,39935.76244272
1515470400,1199.16,1213.0,1167.04,1209.51,33915.96054084
1515484800,1209.51,1244.98,1167.0,1215.02,31143.449954570002
1515499200,1215.02,1222.19,1115.3,1196.98,57574.82971557
1515513600,1196.99,1214.5,1191.0,1209.99,36229.07602021
1515528000,1210.0,1297.58,1210.0,1290.01,81044.9637293
1515542400,1290.01,1343.91,1244.01,1342.19,76495.45564803
1515556800,1342.19,1386.99,1311.5,1323.42,88837.85475722
1515571200,1323.09,1355.01,1262.0,1349.0,51107.46587418
1515585600,1342.54,1361.99,1286.0,1340.81,48434.424353430004
1515600000,1342.1,1345.0,1268.66,1304.37,56693.19343869
1515614400,1304.38,1304.99,1207.61,1246.94,66186.39491143
1515628800,1246.95,1335.0,1135.0,1177.85,89346.13849267
1515643200,1177.86,1236.0,1110.36,1228.25,141700.22814985
1515657600,1228.25,1242.42,1151.0,1189.0,27085.72300792
1515672000,1189.0,1238.39,1160.71,1219.11,43298.91363011
1515686400,1219.04,1244.99,1157.71,1174.72,42606.48499599
1515700800,1174.72,1193.97,1083.97,1137.01,59935.83376458
1515715200,1137.01,1215.0,1089.0,1212.0,66129.54095053
1515729600,1212.0,1219.97,1189.95,1205.38,30721.42956538
1515744000,1205.88,1225.0,1175.76,1222.83,18821.94460965
1515758400,1222.83,1285.0,1201.83,1233.73,43469.94195629
1515772800,1233.73,1264.89,1208.18,1256.52,31911.7246943
1515787200,1256.52,1267.63,1221.0,1260.0,26312.26893572
1515801600,1260.0,1294.87,1259.99,1287.27,32030.74683556
1515816000,1287.26,1335.0,1282.3,1331.65,27783.7093855
1515830400,1331.63,1335.0,1311.77,1334.66,15881.136685770001
1515844800,1334.66,1359.98,1334.62,1353.99,23470.24848821
1515859200,1353.99,1418.96,1351.31,1382.56,63418.78096995001
1515873600,1382.56,1419.96,1360.0,1386.02,44048.81504786
1515888000,1386.01,1389.11,1345.98,1383.44,29057.11096884
1515902400,1383.44,1383.44,1322.0,1342.24,26461.12636046
1515916800,1342.22,1360.0,1322.01,1331.87,10808.49176995
1515931200,1331.86,1346.97,1270.79,1294.0,26988.864981079998
1515945600,1293.99,1338.43,1256.01,1318.98,33053.265060570004
1515960000,1318.99,1370.0,1312.0,1365.46,22355.547337390002
1515974400,1365.46,1380.97,1314.0,1328.89,34083.16159708
1515988800,1328.89,1345.9,1318.92,1326.2,13088.09405653
1516003200,1326.2,1326.2,1294.44,1300.01,15102.14234357
