time,open,high,low,close,volume
1561651200,2.80099,2.80099,2.185,2.259,177246.34
1561665600,2.23901,2.34,2.05,2.3198,130937.43
1561680000,2.3198,2.389,2.2093,2.26098,61304.53
1561694400,2.25,2.8,2.2,2.26,85062.20999999999
1561708800,2.28,2.4,2.255,2.33499,31769.96
1561723200,2.285,2.5,2.24,2.5,88929.39
1561737600,2.46997,3.6,2.3805,3.045,2406019.6
1561752000,3.045,3.31,2.67,3.18477,2740968.9299999997
1561766400,3.18398,5.1,2.978,3.54,7309177.4
1561780800,3.52221,3.55898,2.92001,3.53,3061748.79
1561795200,3.53,3.75,3.28,3.51225,1418948.35
1561809600,3.50654,4.81409,3.47001,4.19,6206591.64
1561824000,4.19,4.65,4.053,4.25,5087384.25
1561838400,4.24999,4.5,3.7,3.80122,3477910.42
1561852800,3.84892,4.161,3.6,3.93,3210475.74
1561867200,3.92999,4.2499,3.77637,3.8994,1659106.3
1561881600,3.84026,4.213,3.84026,4.16,733362.3300000001
1561896000,4.10062,4.2,3.65,3.96988,1770328.21
1561910400,3.96,3.9885,3.787,3.80031,1175140.18
1561924800,3.81,3.86,3.20101,3.4195,3484996.8
1561939200,3.3806,3.659,3.3806,3.525,1378096.0699999998
1561953600,3.53721,3.57894,3.42002,3.44311,414886.89
1561968000,3.46576,3.48848,3.21001,3.39998,881907.65
1561982400,3.39999,3.43999,2.831,3.12497,2577705.22
1561996800,3.12432,3.6,3.0221,3.4,3798305.8899999997
1562011200,3.39997,3.9888,3.33569,3.62996,3263860.12
1562025600,3.62992,3.87,3.35523,3.43095,2002612.16
1562040000,3.43095,3.52567,3.07771,3.36002,1777964.96
1562054400,3.36002,3.75,3.30508,3.51731,1326758.3
1562068800,3.53695,3.95,3.48161,3.84122,3445914.08
1562083200,3.8588,3.889,3.62,3.70499,1766670.09
1562097600,3.693,3.77558,3.5701,3.73703,1023075.48
1562112000,3.73803,3.79,3.55014,3.71862,1632575.63
1562126400,3.70216,3.85,3.7,3.72469,875923.04
1562140800,3.75692,3.79699,3.6825,3.7045,355326.04000000004
1562155200,3.71,3.73019,3.58601,3.67709,741583.0399999999
1562169600,3.66014,3.761,3.60999,3.63107,721727.4299999999
1562184000,3.6387,3.675,3.44414,3.4906,1438695.4
1562198400,3.49051,3.61,3.45,3.49175,735342.65
1562212800,3.48101,3.50355,3.2233,3.32,940184.69
1562227200,3.32592,3.5999,3.222,3.46003,620775.02
1562241600,3.47411,3.49999,3.33,3.44162,642377.11
1562256000,3.45341,3.47995,3.31,3.3875,522086.87
1562270400,3.38354,3.545,3.33083,3.46181,820811.36
1562284800,3.46181,3.70261,3.41047,3.62835,1442054.0
1562299200,3.62828,3.62897,3.47,3.53051,455591.85
1562313600,3.53051,3.62394,3.47,3.51588,273466.95
1562328000,3.5142,3.7,3.5,3.58918,741711.3300000001
1562342400,3.59993,3.70579,3.551,3.66628,750325.95
1562356800,3.66628,3.74662,3.59128,3.64999,867299.42
1562371200,3.63693,3.667,3.52,3.53401,642995.19
1562385600,3.53826,3.6,3.5,3.5535,379399.24
1562400000,3.55749,3.635,3.53,3.63499,166558.78999999998
1562414400,3.62156,3.641,3.503,3.51403,472704.09
1562428800,3.52026,3.56251,3.5025,3.54946,440832.02
1562443200,3.54934,3.58,3.4555,3.48569,443969.39
1562457600,3.4856,3.53,3.4,3.41553,325208.15
1562472000,3.41553,3.45218,3.33063,3.391,393501.83
1562486400,3.39631,3.51,3.31,3.33899,395320.54
1562500800,3.33899,3.46397,3.3176,3.42,319887.14
1562515200,3.42,3.44611,3.33,3.38593,609569.8300000001
1562529600,3.38526,3.39778,3.25331,3.31098,823247.87
1562544000,3.307,3.379,3.27,3.33442,454532.42
1562558400,3.33441,3.6188,3.32188,3.45042,642676.09
1562572800,3.45047,3.49092,3.37214,3.39,373354.33999999997
1562587200,3.39944,3.42499,3.34,3.35604,462154.49
1562601600,3.36706,3.37419,3.27724,3.306,509742.28
1562616000,3.30609,3.398,3.279,3.34401,932443.5900000001
1562630400,3.35927,3.40909,3.201,3.25379,1090085.55
1562644800,3.24073,3.27,3.1,3.25066,1126240.15
1562659200,3.26664,3.31999,3.1,3.14405,628048.91
1562673600,3.15336,3.23555,3.01398,3.05264,884328.33
1562688000,3.05272,3.1245,2.95,3.0463,1364586.81
1562702400,3.04007,3.265,3.04,3.07752,1223249.51
1562716800,3.08771,3.14,2.99999,3.09641,1108359.45
1562731200,3.09641,3.189,3.0712,3.14886,436880.4
1562745600,3.15792,3.15888,3.09004,3.10352,163840.28999999998
1562760000,3.09008,3.10993,2.89,2.94961,636061.85
1562774400,2.95214,3.32769,2.83401,3.20981,2667692.95
1562788800,3.20982,3.26566,3.0288,3.11687,1440094.78
1562803200,3.11665,3.15269,2.95501,2.98954,596746.0800000001
1562817600,2.98949,3.06,2.8312,2.95032,1091806.6
1562832000,2.9619,2.98248,2.86304,2.87527,403552.44
1562846400,2.8891,2.98888,2.82,2.85205,761240.39
1562860800,2.8636,2.98887,2.84001,2.87502,612773.08
1562875200,2.87557,2.88914,2.7,2.77789,1017845.73
1562889600,2.77789,2.835,2.59,2.66546,873388.1100000001
