iteration,timestamp,breakout_window,take_profit,stop_loss,vol_mult,max_hold_bars,n_trades,win_rate,gross_pnl,total_slippage,total_gas,net_pnl,cagr,sharpe,max_dd,sortino,gate_passed,notes
1,2026-09-18T00:25:24.190524,10,0.05,0.02,1.5,60,769,4.03,456.87,4281.05,769.0,-4593.18,-96.75,-83.6,-45.01,-15.6,False,
2,2026-09-18T00:25:24.438981,10,0.05,0.02,1.5,120,767,4.17,472.02,4278.81,767.0,-4573.79,-96.68,-81.9,-44.81,-15.59,False,
3,2026-09-18T00:25:24.679277,10,0.05,0.02,1.5,180,767,4.17,472.02,4278.81,767.0,-4573.79,-96.68,-81.9,-44.81,-15.59,False,
4,2026-09-18T00:25:24.916495,10,0.05,0.02,1.5,240,767,4.17,472.02,4278.81,767.0,-4573.79,-96.68,-81.9,-44.81,-15.59,False,
5,2026-09-18T00:25:25.176489,10,0.05,0.02,2.0,60,175,5.14,189.85,1220.82,175.0,-1205.97,-50.92,-28.76,-11.69,-13.93,True,
6,2026-09-18T00:25:25.443298,10,0.05,0.02,2.0,120,175,5.71,205.54,1222.66,175.0,-1192.12,-50.48,-28.74,-11.55,-13.93,True,
7,2026-09-18T00:25:25.703366,10,0.05,0.02,2.0,180,175,5.71,205.54,1222.66,175.0,-1192.12,-50.48,-28.74,-11.55,-13.93,False,
8,2026-09-18T00:25:25.963998,10,0.05,0.02,2.0,240,175,5.71,205.54,1222.66,175.0,-1192.12,-50.48,-28.74,-11.55,-13.93,False,
9,2026-09-18T00:25:26.227910,10,0.05,0.02,2.5,60,59,8.47,98.45,429.96,59.0,-390.51,-19.62,-17.73,-3.74,-11.89,True,
10,2026-09-18T00:25:26.498692,10,0.05,0.02,2.5,120,59,10.17,114.27,430.81,59.0,-375.53,-18.9,-16.35,-3.59,-11.49,True,
11,2026-09-18T00:25:26.754986,10,0.05,0.02,2.5,180,59,10.17,114.27,430.81,59.0,-375.53,-18.9,-16.35,-3.59,-11.49,False,
12,2026-09-18T00:25:27.017462,10,0.05,0.02,2.5,240,59,10.17,114.27,430.81,59.0,-375.53,-18.9,-16.35,-3.59,-11.49,False,
13,2026-09-18T00:25:27.289685,10,0.05,0.02,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,True,
14,2026-09-18T00:25:27.558371,10,0.05,0.02,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
15,2026-09-18T00:25:27.820433,10,0.05,0.02,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
16,2026-09-18T00:25:28.079593,10,0.05,0.02,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
17,2026-09-18T00:25:28.305492,10,0.05,0.04,1.5,60,769,4.03,456.87,4281.05,769.0,-4593.18,-96.75,-83.6,-45.01,-15.6,False,
18,2026-09-18T00:25:28.539467,10,0.05,0.04,1.5,120,767,4.17,472.02,4278.81,767.0,-4573.79,-96.68,-81.9,-44.81,-15.59,False,
19,2026-09-18T00:25:28.774528,10,0.05,0.04,1.5,180,767,4.17,472.02,4278.81,767.0,-4573.79,-96.68,-81.9,-44.81,-15.59,False,
20,2026-09-18T00:25:29.013556,10,0.05,0.04,1.5,240,767,4.17,472.02,4278.81,767.0,-4573.79,-96.68,-81.9,-44.81,-15.59,False,
21,2026-09-18T00:25:29.269703,10,0.05,0.04,2.0,60,175,5.14,189.85,1220.82,175.0,-1205.97,-50.92,-28.76,-11.69,-13.93,False,
22,2026-09-18T00:25:29.533433,10,0.05,0.04,2.0,120,175,5.71,205.54,1222.66,175.0,-1192.12,-50.48,-28.74,-11.55,-13.93,False,
23,2026-09-18T00:25:29.790560,10,0.05,0.04,2.0,180,175,5.71,205.54,1222.66,175.0,-1192.12,-50.48,-28.74,-11.55,-13.93,False,
