iteration,timestamp,short_window,long_window,ma_type,rsi_filter,vol_confirm,atr_sizing,regime_filter,cagr,sharpe,max_dd,sortino,calmar,win_year_pct,ml_accuracy,vol_pct,skewness,kurt,gate_passed,notes,strategy,asset,breakout_window,take_profit,stop_loss,vol_mult,max_hold_bars,n_trades,win_rate,gross_pnl,total_fees,total_slippage,net_pnl
1,2026-09-18T07:59:09.085620,,,,,,,,-31.6162,-80.1144,-2.0892,-15.5928,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,1.5,30.0,423.0,8.51,-4.9922,125.4361,83.6241,-214.0525
2,2026-09-18T07:59:09.161104,,,,,,,,-31.0553,-81.5836,-2.0447,-15.6026,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,1.5,60.0,414.0,8.21,-4.9514,122.7953,81.8636,-209.6104
3,2026-09-18T07:59:09.238713,,,,,,,,-31.0553,-81.5836,-2.0447,-15.6026,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,1.5,90.0,414.0,8.21,-4.9514,122.7953,81.8636,-209.6104
4,2026-09-18T07:59:09.315527,,,,,,,,-31.0553,-81.5836,-2.0447,-15.6026,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,1.5,120.0,414.0,8.21,-4.9514,122.7953,81.8636,-209.6104
5,2026-09-18T07:59:09.399938,,,,,,,,-26.7322,-65.1366,-1.7132,-15.4541,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,2.0,30.0,351.0,8.83,-3.0254,104.2843,69.5229,-176.8326
6,2026-09-18T07:59:09.482463,,,,,,,,-26.2403,-65.8955,-1.6767,-15.4633,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,2.0,60.0,343.0,8.16,-3.3035,101.926,67.9506,-173.1801
7,2026-09-18T07:59:09.561115,,,,,,,,-26.2403,-65.8955,-1.6767,-15.4633,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,2.0,90.0,343.0,8.16,-3.3035,101.926,67.9506,-173.1801
8,2026-09-18T07:59:09.642008,,,,,,,,-26.2403,-65.8955,-1.6767,-15.4633,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,2.0,120.0,343.0,8.16,-3.3035,101.926,67.9506,-173.1801
9,2026-09-18T07:59:09.726962,,,,,,,,-22.7242,-56.0008,-1.422,-15.3135,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,2.5,30.0,287.0,8.36,-2.6699,85.4092,56.9395,-145.0186
10,2026-09-18T07:59:09.810830,,,,,,,,-22.5221,-56.7381,-1.4077,-15.3272,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,2.5,60.0,283.0,7.42,-3.2157,84.2236,56.1491,-143.5883
11,2026-09-18T07:59:09.890064,,,,,,,,-22.5221,-56.7381,-1.4077,-15.3272,,,,,,,False,,cex_momentum,BTC/USDT,10.0,0.004,0.003,2.5,90.0,283.0,7.42,-3.2157,84.2236,56.1491,-143.5883
